model,representation,split_policy,folds,test_rows_total,test_positive_total,test_negative_total,roc_auc,roc_auc_std,pr_auc,pr_auc_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std
dummy,esm2_t12_35m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.5,0.0,0.09090867517263457,0.0006876826793197999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,esm2_t12_35m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.8843236201060428,0.031139513077740957,0.5770733636048354,0.10831974034465222,0.7962064119250064,0.026693904613367198,0.4495743837041394,0.05400572964838566,0.6767994409503844,0.05667059578609505,0.5381578819685917,0.042222825898422384,0.4954073857835093,0.046675635189444835
random_forest,esm2_t12_35m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.9027384208926609,0.013172414818923239,0.6891227666871398,0.07992851631809944,0.6361090978051068,0.03805199934272578,0.8920634920634921,0.1855853574992257,0.27519217330538087,0.07148090386103982,0.4201775358030536,0.10412800213643643,0.47337545825203353,0.12104550887714051
