evidence_package,representation,classifier,threshold,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,mcc,positive_prediction_rate
P-SIGNAL-001,physicochemical_features,dummy,0.370000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.380000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.390000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.400000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.410000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.420000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.430000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.440000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.450000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.460000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.470000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.480000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.490000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.500000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.510000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.520000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.530000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.540000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.550000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.560000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.570000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.580000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.590000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.600000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.610000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.620000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.630000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.640000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.650000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.660000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.670000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.680000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.690000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.700000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.710000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.720000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.730000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.740000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.750000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.760000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.770000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.780000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.790000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.800000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.810000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.820000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.830000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.840000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.850000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.860000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.870000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.880000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.890000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.900000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.910000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.920000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.930000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.940000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.950000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.960000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.970000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.980000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,0.990000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,dummy,1.000000,0,0,2690,269,0.000000,0.000000,1.000000,0.000000,0.500000,0.000000,0.000000
P-SIGNAL-001,physicochemical_features,logistic_regression,0.000000,269,2690,0,0,0.090909,1.000000,0.000000,0.166667,0.500000,0.000000,1.000000
P-SIGNAL-001,physicochemical_features,logistic_regression,0.010000,269,2638,52,0,0.092535,1.000000,0.019331,0.169395,0.509665,0.042294,0.982426
P-SIGNAL-001,physicochemical_features,logistic_regression,0.020000,269,2588,102,0,0.094155,1.000000,0.037918,0.172105,0.518959,0.059751,0.965529
P-SIGNAL-001,physicochemical_features,logistic_regression,0.030000,269,2540,150,0,0.095764,1.000000,0.055762,0.174789,0.527881,0.073075,0.949307
P-SIGNAL-001,physicochemical_features,logistic_regression,0.040000,269,2489,201,0,0.097534,1.000000,0.074721,0.177734,0.537361,0.085369,0.932072
P-SIGNAL-001,physicochemical_features,logistic_regression,0.050000,268,2421,269,1,0.099665,0.996283,0.100000,0.181204,0.548141,0.096122,0.908753
P-SIGNAL-001,physicochemical_features,logistic_regression,0.060000,267,2362,328,2,0.101560,0.992565,0.121933,0.184265,0.557249,0.104568,0.888476
P-SIGNAL-001,physicochemical_features,logistic_regression,0.070000,267,2319,371,2,0.103248,0.992565,0.137918,0.187040,0.565242,0.113016,0.873944
P-SIGNAL-001,physicochemical_features,logistic_regression,0.080000,266,2261,429,3,0.105263,0.988848,0.159480,0.190272,0.574164,0.120761,0.854005
P-SIGNAL-001,physicochemical_features,logistic_regression,0.090000,266,2210,480,3,0.107431,0.988848,0.178439,0.193807,0.583643,0.130126,0.836769
P-SIGNAL-001,physicochemical_features,logistic_regression,0.100000,265,2166,524,4,0.109009,0.985130,0.194796,0.196296,0.589963,0.135094,0.821561
P-SIGNAL-001,physicochemical_features,logistic_regression,0.110000,263,2118,572,6,0.110458,0.977695,0.212639,0.198491,0.595167,0.138015,0.804664
P-SIGNAL-001,physicochemical_features,logistic_regression,0.120000,262,2065,625,7,0.112591,0.973978,0.232342,0.201849,0.603160,0.144723,0.786414
P-SIGNAL-001,physicochemical_features,logistic_regression,0.130000,262,2014,676,7,0.115114,0.973978,0.251301,0.205894,0.612639,0.153701,0.769179
P-SIGNAL-001,physicochemical_features,logistic_regression,0.140000,262,1965,725,7,0.117647,0.973978,0.269517,0.209936,0.621747,0.162228,0.752619
P-SIGNAL-001,physicochemical_features,logistic_regression,0.150000,262,1898,792,7,0.121296,0.973978,0.294424,0.215727,0.634201,0.173795,0.729976
P-SIGNAL-001,physicochemical_features,logistic_regression,0.160000,262,1850,840,7,0.124053,0.973978,0.312268,0.220076,0.643123,0.182055,0.713755
P-SIGNAL-001,physicochemical_features,logistic_regression,0.170000,262,1803,887,7,0.126877,0.973978,0.329740,0.224507,0.651859,0.190149,0.697871
P-SIGNAL-001,physicochemical_features,logistic_regression,0.180000,262,1762,928,7,0.129447,0.973978,0.344981,0.228522,0.659480,0.197231,0.684015
P-SIGNAL-001,physicochemical_features,logistic_regression,0.190000,260,1716,974,9,0.131579,0.966543,0.362082,0.231626,0.664312,0.200577,0.667793
P-SIGNAL-001,physicochemical_features,logistic_regression,0.200000,257,1660,1030,12,0.134064,0.955390,0.382900,0.235133,0.669145,0.203609,0.647854
P-SIGNAL-001,physicochemical_features,logistic_regression,0.210000,256,1613,1077,13,0.136972,0.951673,0.400372,0.239476,0.676022,0.209813,0.631632
P-SIGNAL-001,physicochemical_features,logistic_regression,0.220000,256,1574,1116,13,0.139891,0.951673,0.414870,0.243926,0.683271,0.216922,0.618452
P-SIGNAL-001,physicochemical_features,logistic_regression,0.230000,254,1536,1154,15,0.141899,0.944238,0.428996,0.246722,0.686617,0.219483,0.604934
P-SIGNAL-001,physicochemical_features,logistic_regression,0.240000,254,1490,1200,15,0.145642,0.944238,0.446097,0.252360,0.695167,0.228101,0.589388
P-SIGNAL-001,physicochemical_features,logistic_regression,0.250000,254,1455,1235,15,0.148625,0.944238,0.459108,0.256825,0.701673,0.234749,0.577560
P-SIGNAL-001,physicochemical_features,logistic_regression,0.260000,253,1408,1282,16,0.152318,0.940520,0.476580,0.262176,0.708550,0.241641,0.561338
P-SIGNAL-001,physicochemical_features,logistic_regression,0.270000,253,1353,1337,16,0.157534,0.940520,0.497026,0.269867,0.718773,0.252496,0.542751
P-SIGNAL-001,physicochemical_features,logistic_regression,0.280000,251,1315,1375,18,0.160281,0.933086,0.511152,0.273569,0.722119,0.255857,0.529233
P-SIGNAL-001,physicochemical_features,logistic_regression,0.290000,250,1269,1421,19,0.164582,0.929368,0.528253,0.279642,0.728810,0.263207,0.513349
P-SIGNAL-001,physicochemical_features,logistic_regression,0.300000,250,1225,1465,19,0.169492,0.929368,0.544610,0.286697,0.736989,0.272519,0.498479
P-SIGNAL-001,physicochemical_features,logistic_regression,0.310000,248,1184,1506,21,0.173184,0.921933,0.559851,0.291593,0.740892,0.277149,0.483947
P-SIGNAL-001,physicochemical_features,logistic_regression,0.320000,246,1148,1542,23,0.176471,0.914498,0.573234,0.295851,0.743866,0.280896,0.471105
P-SIGNAL-001,physicochemical_features,logistic_regression,0.330000,242,1117,1573,27,0.178072,0.899628,0.584758,0.297297,0.742193,0.279431,0.459277
P-SIGNAL-001,physicochemical_features,logistic_regression,0.340000,241,1081,1609,28,0.182300,0.895911,0.598141,0.302954,0.747026,0.285683,0.446773
P-SIGNAL-001,physicochemical_features,logistic_regression,0.350000,241,1046,1644,28,0.187257,0.895911,0.611152,0.309769,0.753532,0.294040,0.434944
P-SIGNAL-001,physicochemical_features,logistic_regression,0.360000,232,1009,1681,37,0.186946,0.862454,0.624907,0.307285,0.743680,0.283926,0.419398
P-SIGNAL-001,physicochemical_features,logistic_regression,0.370000,229,974,1716,40,0.190357,0.851301,0.637918,0.311141,0.744610,0.286326,0.406556
P-SIGNAL-001,physicochemical_features,logistic_regression,0.380000,227,930,1760,42,0.196197,0.843866,0.654275,0.318373,0.749071,0.293468,0.391010
P-SIGNAL-001,physicochemical_features,logistic_regression,0.390000,226,876,1814,43,0.205082,0.840149,0.674349,0.329686,0.757249,0.305942,0.372423
P-SIGNAL-001,physicochemical_features,logistic_regression,0.400000,225,847,1843,44,0.209888,0.836431,0.685130,0.335570,0.760781,0.311942,0.362285
P-SIGNAL-001,physicochemical_features,logistic_regression,0.410000,223,813,1877,46,0.215251,0.828996,0.697770,0.341762,0.763383,0.317468,0.350118
P-SIGNAL-001,physicochemical_features,logistic_regression,0.420000,222,776,1914,47,0.222445,0.825279,0.711524,0.350434,0.768401,0.326410,0.337276
P-SIGNAL-001,physicochemical_features,logistic_regression,0.430000,222,744,1946,47,0.229814,0.825279,0.723420,0.359514,0.774349,0.336391,0.326462
P-SIGNAL-001,physicochemical_features,logistic_regression,0.440000,219,707,1983,50,0.236501,0.814126,0.737175,0.366527,0.775651,0.341796,0.312944
P-SIGNAL-001,physicochemical_features,logistic_regression,0.450000,217,671,2019,52,0.244369,0.806691,0.750558,0.375108,0.778625,0.349547,0.300101
P-SIGNAL-001,physicochemical_features,logistic_regression,0.460000,216,642,2048,53,0.251748,0.802974,0.761338,0.383319,0.782156,0.357532,0.289963
P-SIGNAL-001,physicochemical_features,logistic_regression,0.470000,215,613,2077,54,0.259662,0.799257,0.772119,0.391978,0.785688,0.365904,0.279824
