model,split_policy,folds,roc_auc,roc_auc_std,pr_auc,pr_auc_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,test_rows_total,test_positive_total,test_negative_total
dummy,leakage_aware_group_stratified,5,0.5,0.0,0.0909086751726345,0.0006876826793197,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959,269,2690
logistic_regression,leakage_aware_group_stratified,5,0.8587118998075021,0.013027900331782,0.5024344329503113,0.0716054631892088,0.7835458345348224,0.019667694894578796,0.2756778315072416,0.0097351621542312,0.7693221523410203,0.0460509963052612,0.4057333987430015,0.0149395283567252,0.374715120242186,0.02245896076574,2959,269,2690
random_forest,leakage_aware_group_stratified,5,0.8717668903384691,0.024789686002385,0.5807054539133437,0.0812757572891967,0.6910402687179007,0.02275570269190984,0.7388445391162783,0.1509742922327452,0.3976939203354298,0.0416741925001124,0.51347995729091,0.0594783808556984,0.5084459767436929,0.0788281810222984,2959,269,2690
