model,split_policy,folds,roc_auc,roc_auc_std,pr_auc,pr_auc_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std,test_rows_total,test_positive_total,test_negative_total
dummy,leakage_aware_group_stratified,5,0.5,0.0,0.09090867517263457,0.0006876826793197999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2959,269,2690
logistic_regression,leakage_aware_group_stratified,5,0.8587118998075021,0.013027900331782085,0.5024344329503113,0.07160546318920888,0.2756778315072416,0.009735162154231208,0.7693221523410203,0.046050996305261244,0.4057333987430015,0.014939528356725225,0.374715120242186,0.02245896076574004,2959,269,2690
random_forest,leakage_aware_group_stratified,5,0.8717668903384691,0.02478968600238505,0.5807054539133437,0.08127575728919677,0.7388445391162783,0.15097429223274522,0.3976939203354298,0.04167419250011246,0.51347995729091,0.05947838085569848,0.5084459767436929,0.07882818102229847,2959,269,2690
