model,representation,split_policy,folds,test_rows_total,test_positive_total,test_negative_total,roc_auc,roc_auc_std,pr_auc,pr_auc_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,mcc,mcc_std
dummy,esm2_t30_150m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.5,0.0,0.09090867517263457,0.0006876826793197999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,esm2_t30_150m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.8811390895700357,0.027650205312019168,0.5733720074554645,0.08769202291764601,0.7937308248839428,0.03201838261643251,0.48679958985095056,0.0463577278488359,0.6577218728162124,0.06824678468003155,0.5575942131367094,0.04238888932435458,0.5142902005117646,0.04763736762292665
random_forest,esm2_t30_150m_ur50d_mean_pooled,leakage_aware_group_stratified,5,2959,269,2690,0.8955980038395694,0.00985460816244554,0.6703986569783212,0.05743681548726913,0.6200811037592969,0.026399328532154962,0.9357142857142857,0.1083267920578793,0.2416491963661775,0.050755718091878954,0.38326976073893654,0.07200497091682943,0.4550938229969622,0.07715393291133166
